Date,Open,High,Low,Close,Adj Close,Volume
2017-07-18,590.5,590.5,590.5,590.5,590.5,0
2017-07-19,591.75,591.75,591.75,591.75,591.75,0
2017-07-20,596.0,596.0,596.0,596.0,596.0,0
2017-07-21,596.0,596.0,596.0,596.0,596.0,0
2017-07-24,594.75,594.75,594.75,594.75,594.75,0
2017-07-25,598.75,598.75,598.75,598.75,598.75,0
2017-07-26,599.0,599.0,599.0,599.0,599.0,0
2017-07-27,600.75,600.75,600.75,600.75,600.75,0
2017-07-28,600.25,600.25,600.25,600.25,600.25,0
2017-07-31,600.5,600.5,600.5,600.5,600.5,0
2017-08-01,620.5,620.5,620.5,620.5,620.5,0
2017-08-02,616.5,616.5,616.5,616.5,616.5,0
2017-08-03,608.5,608.5,608.5,608.5,608.5,0
2017-08-04,610.5,610.5,610.5,610.5,610.5,0
2017-08-07,603.5,603.5,603.5,603.5,603.5,0
2017-08-08,613.25,613.25,613.25,613.25,613.25,0
2017-08-09,613.0,613.0,613.0,613.0,613.0,0
2017-08-10,617.5,617.5,617.5,617.5,617.5,0
2017-08-11,620.25,620.25,620.25,620.25,620.25,0
2017-08-14,618.25,618.25,618.25,618.25,618.25,0
2017-08-15,614.0,614.0,614.0,614.0,614.0,0
2017-08-16,614.25,614.25,614.25,614.25,614.25,0
2017-08-17,616.75,616.75,616.75,616.75,616.75,0
2017-08-18,618.75,618.75,618.75,618.75,618.75,0
2017-08-21,621.5,621.5,621.5,621.5,621.5,0
2017-08-22,623.75,623.75,623.75,623.75,623.75,0
2017-08-23,623.75,623.75,623.75,623.75,623.75,0
2017-08-24,626.0,626.0,626.0,626.0,626.0,0
2017-08-25,625.0,625.0,625.0,625.0,625.0,0
2017-08-28,624.75,624.75,624.75,624.75,624.75,0
2017-08-29,624.25,624.25,624.25,624.25,624.25,0
2017-08-30,624.25,624.25,624.25,624.25,624.25,0
2017-08-31,624.25,624.25,624.25,624.25,624.25,0
2017-09-01,634.75,634.75,634.75,634.75,634.75,0
2017-09-05,648.5,648.5,648.5,648.5,648.5,0
2017-09-06,646.5,646.5,646.5,646.5,646.5,0
2017-09-07,658.5,658.5,658.5,658.5,658.5,0
2017-09-08,658.5,658.5,658.5,658.5,658.5,0
2017-09-11,664.0,664.0,664.0,664.0,664.0,0
2017-09-12,668.25,668.25,668.25,668.25,668.25,0
2017-09-13,675.25,675.25,675.25,675.25,675.25,0
2017-09-14,674.75,674.75,674.75,674.75,674.75,0
2017-09-15,674.5,674.5,674.5,674.5,674.5,0
2017-09-18,668.5,668.5,668.5,668.5,668.5,0
2017-09-19,664.25,664.25,664.25,664.25,664.25,0
2017-09-20,664.25,664.25,664.25,664.25,664.25,0
2017-09-21,661.25,661.25,661.25,661.25,661.25,0
2017-09-22,661.25,661.25,661.25,661.25,661.25,0
2017-09-25,658.5,658.5,658.5,658.5,658.5,0
2017-09-26,661.25,661.25,661.25,661.25,661.25,0
2017-09-27,660.75,660.75,660.75,660.75,660.75,0
2017-09-28,659.5,659.5,659.5,659.5,659.5,0
2017-09-29,659.5,659.5,659.5,659.5,659.5,0
2017-10-02,630.25,630.25,630.25,630.25,630.25,0
2017-10-03,632.5,632.5,632.5,632.5,632.5,0
2017-10-04,641.5,641.5,641.5,641.5,641.5,0
2017-10-05,641.75,641.75,641.75,641.75,641.75,0
2017-10-06,643.0,643.0,643.0,643.0,643.0,0
2017-10-09,644.5,644.5,644.5,644.5,644.5,0
2017-10-10,638.25,638.25,638.25,638.25,638.25,0
2017-10-11,639.75,639.75,639.75,639.75,639.75,0
2017-10-12,641.5,641.5,641.5,641.5,641.5,0
2017-10-13,646.75,646.75,646.75,646.75,646.75,0
2017-10-16,648.25,648.25,648.25,648.25,648.25,0
2017-10-17,645.5,645.5,645.5,645.5,645.5,0
2017-10-18,645.5,645.5,645.5,645.5,645.5,0
2017-10-19,643.5,643.5,643.5,643.5,643.5,0
2017-10-20,645.25,645.25,645.25,645.25,645.25,0
2017-10-23,648.5,648.5,648.5,648.5,648.5,0
2017-10-24,647.75,647.75,647.75,647.75,647.75,0
2017-10-25,649.25,649.25,649.25,649.25,649.25,0
2017-10-26,649.75,649.75,649.75,649.75,649.75,0
2017-10-27,649.75,649.75,649.75,649.75,649.75,0
